,qid,Q,A,Gold_A
18,8a36aeac84a462745c5fa5ffacc45c1b,"Which Player(s), in Scoring leaders of 2000–01 AHL season, Plays for the team with a pouncing wild cat on the jersey?",     ....................................................................................................................................................................................................................................................................................................................................................,['Mikael Samuelsson']
19,9ae2827de34f02e886c7d9d6af81e9c6,"Milo Murphy's Law (previously titled Mikey Murphy's Law) is an American animated television series from the creators of ""Phineas and Ferb"", the series revolves around the title character, Milo Murphy, who is a descendant of Edward A. Murphy Jr., was an American aerospace engineer who worked on safety-critical systems, and the namesake of which term,?",      	Edward A. Murphy Jr.,"[""Murphy's law""]"
20,9ccd35f39cdd23d9b4cad3467539d5f4,when did the first episode of phineas and ferb come out,      	Phineas and Ferb: Mission Marvelous!,"['August 17, 2007']"
21,6342fbe80aef2e720d0b06d35e4ec463,What color hair does alyson stoner have?,      umber.,['blonde']
22,9aa0dd5dd754fdc4a68eabc639a34f35,"Which Album(s), in Singles of Cass Elliot, has three children on its cover?",     ..................................................................................................................................................................................................................,['Dream a Little Dream (Cass Elliot album)']
23,d85e16020cec2e8cdcb347f88e1763c9,is make your own kind of music on an album,      	Yes.,['yes']
24,9c4edd8d739fd174c3e3def12de3e7d8,"Is there an amusement park featured in the collage of Tampa, Florida?","      	Yes, Busch Gardens.",['yes']
25,f2def8c149eac4debb187a7057243177,"What is going across the river and in the water on Parkersburg, West Virginia?",      	A boat.,['bridge']
26,074182b0a52f0fd0e740b4f64b30113c,How many colors are on the Mississippi flag?,      	3,['3']
27,c39391f49f6932db136820f0ba229324,What arid climate is the region where Page Municipal Airport is located?,      	Desert climate.,['desert']
28,7c7ffee7b94509e9379ee289a07f2239,"In the city that is served by Contour Airlines as a destination, and which is famous for the metal archway-shaped structure on its shore, how tall is this arch?",     ........................................................................................................................,['630-foot']
29,782b7cd2730063d3406269f49f3abea5,"Who were the stars of the movie whose title begins with ""Meet Me In"" and ends with the name of the city, served by Contour Airlines as a destination, that has a large, metal, archway-shaped sculpture on its shore?","      	""Meet Me In St. Louis""","[""Judy Garland, Margaret O'Brien, Mary Astor, Lucille Bremer, Tom Drake, Leon Ames, Marjorie Main, June Lockhart, and Joan Carroll""]"
30,04ec050615a31c84b35257ba63fff85c,is there going to be a piranha 2,      	No.,['yes']
31,ae6a6019d324f08fb734b74f66a237e2,who owned the manor in the middle ages,      	Long Stanton Manor.,['a higher lord']
32,e92c5d803610ccf775a0147b50f2446b,are there great white sharks in atlantic ocean,      	No.,['yes']
33,5fc1a4391a2bc99286531215825a5f5d,what are flying monkeys in wizard of oz called,      elysians.,['Winged monkeys']
34,daa1e572eefb721531c111d7ce59cb5b,are all of the songs in mamma mia here we go again by abba,      	Yes.,['no']
35,cc3cbe258ac94f14defe66d3cd14afcf,"Does the band that originally performed ""Slipping Through My Fingers"", and who were imitated by performers at the 2001 ""Stars in Euro Eyes"", have both men and women in its lineup?",      	Yes.,['yes']
36,6d372c501004c3e448b1991f39160e99,Did the band that is made up of members of both sexes and was imitated in Stars in Euro Eyes in 2001 sing all songs in mamma mia 2?,      	Yes.,['no']
37,00f604a980ec93043c9cb092a4a54be0,is there a difference between west palm beach and palm beach,"      	No, they are the same city.",['yes']
38,95a6a8871b1023a781bc5b8c6c6ce460,"What is the name of the final album released by the Christian rock band that formed in the mid 1980s at Kentucky Christian University in Grayson, Kentucky?",      天主教教育大学 (Kentucky Christian University).,['Adios: The Greatest Hits']
39,68e8165c0eed4cd49ae2ed8947dbf41d,How many colors are inthe Point Skyhawks logo?,      	4.,['4']
40,6e667feb552a8220f74b7a1b6b235646,"Danish Viking, who ruled over parts of Friesland between 841 and 873 was the uncle of a Viking leader who raided the British Isles, West Francia, Frisia, and Lotharingia in the 860s and 870?",      Ӕlfgifu of Northumbria.,"['Roricus, Rorichus']"
41,b8a42b80ac6dd145a4d6c33bfbd03128,when did the viking age finish in europe,     ................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................,['1066 AD']
42,518dd2aa05588b9dc6cb4056e7f821dc,"Which English actor, best known for his role in ""Kind Hearts and Coronets"", is also seen in the 1962 British comedy-drama The Pot Carriers?",      	Alec Guinness.,['Dennis Price']
43,37044def9bde2dec48a76ce1d83635b0,who played mr doolittle in my fair lady,      ian holm.,['Stanley Holloway']
44,e783cba0b3df36372d11823e378e5437,Which completely bald person who wears thick glasses is among the members of LGBT billionaires?,      	Peter Thiel.,['Domenico Dolce']
45,5454c14ad01e722c2619b66778daa98b,who owns the rights to little shop of horrors,      	Universal Pictures.,['David Geffen']
46,265da4be224029df08ddc9dec1637a29,What color is Giorgio Armani's hair?,      umber.,['white']
47,b6d19503da5c36be904f391d06f2a2ae,Mateo Andacic is a midfielder for what German association football club that was founded in 1899?,      	Borussia Mönchengladbach.,['FSV Frankfurt']
48,36664b6d27bbcbd4bb722f9286cea0bd,What type of ball is shown on the sleeve of Arjen Robben?,      	Football.,['soccer']
49,47800dd3d7edae3069eb4e683d1889ef,What is at the top of the logo for Esporte Clube Santo Andre?,      	A soccer ball.,['crown']
50,1e288b881eea53a6e3e3e56bd79f40e5,"Is the actor who starred in the films ""Rudy"" and ""D-Tox"" bald?",      	Yes.,['yes']
51,cff1106bdd553b3ef2b8b74419606ce0,"Ben Moore is an American composer who has collaborated with many artists, one artist in particular is someone who has won six Tony Awards, which is more than any other actor--who is this artist?",      	Audra McDonald.,['Audra McDonald']
52,29c32bdfc2af9ec54d02e18e068ef0d4,What part of a compilation does Shake Your Coconuts and Junior Senior have in common?,      音乐.,['single']
53,8a9653890bbbe2188a1744433fd4cacd,Which gmina with a swan in the center of its logo is an administrative division of Suwalki County?,     ........................................................................................................................................................................................................,['Gmina Bakałarzewo']
54,8acf581da5ef9fcba411333a1b0c816c,"Which film was released first, Race to Witch Mountain or A Kid in King Arthur's Court?",      	Race to Witch Mountain.,"[""A Kid in King Arthur's Court""]"
55,1db882f16ee4721cc4c3fe9cf55e07e0,What is the man on the poster for Black Hawk Down (film) holding in his right hand?,      	A grenade.,['gun']
56,99189c632e9ee45eb7b5571d54ba047d,where is season 2 of the exorcist filmed,"      rome, italy.",['Vancouver']
57,eea285074866dd36b5f5a7333b74d09a,Where did the director of the film Three Blind Mice relocate to from Australia?,      ireland.,['New York City']
58,d63dc273e79af14e74bd13aec74415d9,Is there an adult on the motorcycle in the poster for Easy Wheels?,      	No.,['no']
59,539ed6e80ce2a3722b3533e4fd1e7a85,who is considered by many to be the father of soul,      	Sam Cooke,['James Brown']
60,c982323ac12799f2f49f583efc024408,Is Glen E. Friedman's jacket zipped or unzipped?,      	Unzipped.,['unzipped']
61,a6cb73d18b79117f01e6d814c07a60f7,What is hitting the bongos in the Incredible Bongo Band cover?,      	Bongos.,['hands']
62,d0b8f1a8c94566aabb1596c2f5ce9066,What position are James Brown's hands in?,      	He is playing the drums.,['fists']
63,1662ffb81bac23620995a9b9fe5cbf72,How many people are in this picture of The Marcels?,      	5.,['nine']
64,20118cd37ec52cf7a05c2cbe1be334a1,What style earrings is P. Susheela wearing?,      ॐ ॐ.,['hoops']
65,2eabd5ce3e8b8da23b996cc41e065315,are tigers the biggest cat in the world,      	Yes.,['no']
66,82cc8e753747c05a332a9505c8cfbea9,"The ""Promociones Gutiérrez"" 1st Anniversary Show, was a professional wrestling supercard event promoted by which organization, the focal point of the event was a ""Ruleta de la Muerte"",Spanish for Roulette of Death, Roulette is a casino game named after the French word meaning ""little wheel""?",      	CMLL.,['Consejo Mundial de Lucha Libre']
67,7c6bc8290d4d5c801a9534648ef8eb45,what comic was roy of the rovers in,      	Roy of the Rovers.,['Tiger']
68,e9fe583ce94693ec158210d74d8c9add,what state has the highest population of bears,      	Alaska.,['Alaska']
69,6a304cb24a40342a0612036581a9c7d1,"Is Plamen Iliev (footballer, born 1991) wearing green?",      	Yes.,['yes']
70,4f183e594eda0238cc1d8f06a8ac4cae,What type of ball is the center of the FC Bolosani logo?,      	Soccer ball.,['soccer']
71,a8fa12306d849d5276dbf335d9baa235,"What Classification is the album by UK band Seccond Person, and a musical genre that originated in the early 1990s in the United Kingdom, especially Bristol?",      	Alternative Rock  	.,['Trip hop']
72,1b5e2bd0c3128eae8ad6f0ce6cd4aa16,when was ain't added to the dictionary,     ....................................................................................................................................................................................,['1961']
73,c61938c1dff72fbe9d26ad1b754e7bbf,"Which drink is considered a highball, a Rickey or a Greyhound?",      	Greyhound.,['Rickey']
74,c95fa4bc3ff92818257af88a1259f333,What is the main color on the cover of Kicking and Screaming (1995 film)?,      	Blue.,['green']
75,1da000eba3307f025502a6df568264c1,"Margot at the Wedding has how many main characters, as portrayed on the front cover?",      	5.,['3']
76,86290fc0b15679306a554c31ae98264b,What type of outfit is Wes Anderson wearing?,      	Wes Anderson is wearing a suit.,['suit']
77,4208cf3ce3392da60fcb29c52861f2dc,How many people are on the advertisement for Solarbabies?,      	None.,['6']
78,3204771c22f1cd16d58885d41af582aa,Chappaquiddick is an upcoming American drama film starring an Australian film and television actor known for playing Tommy Caffee on what television series?,       Sons of Anarchy  (2008–2014).,['Brotherhood']
79,3061f1321a319a1b1db49bbcdbe5146b,"Which one, Boğaziçi University or Basilica Cistern, was built in the 6th century during the reign of Byzantine Emperor Justinian I?",      	Basilica Cistern.,['The Basilica Cistern']
80,11601aa874c6b2ad0c866ff65f27bb63,who was first offered the part of columbo,      	Peter Falk.,"['Bing Crosby', 'Lee J. Cobb']"
81,30d2f3535accc83d174301378ebd07b6,"Sechskies is a six member South Korean boy band that includes what South Korean rapper whose first solo single was ""A-Ha""?",       Gaeko,['Eun Ji-won']
82,cb281b0a823b788b5513a57d446acd41,who plays the huntsman in snow white and the huntsman,      ursula.,['Chris Hemsworth']
83,d7abf11e4f64b4d59904422b17940dfc,What are the men wearing around their necks in Dil Jo Bhi Kahey poster?,      ॐ ॐ ॐ.,['ties']
84,02713dd10d639aa3d90b0ac987db9427,What color is the woman's hair on the top of the advertisement for True True Lie?,      umber.,['blond']
85,0b9cc9d9f48fca74a5eeb8ded92f9f44,"The 1993-94 Portland Trail Blazers season included Harvey Grant, who also has an idential twin named who?",      	Harvey Grant Jr.,['Horace Grant']
86,819e3160f22972d6db17a64a3ba79bb2,Does John Paxson have facial hair?,      	No.,['no']
87,a5ae1e7b8d5dd655ca551a068b327933,"Which Actor(s), in Cast and characters of Nikita (TV series), have a moustache and a beard?",   ,"['Xander Berkeley', 'Aaron Stanford', 'Shane West']"
88,2df1a1ddef25dcdbad7fb43ffcf72ab9,What body part is on the front cover of As Real as It Gets?,      	The head.,['hand']
89,2cbe6f859124a34a828442c29b1be3f5,What sport is Maria Kharenkova participating in?,      	Tennis.,['gymnastics']
90,7275a1bc421f71a683f41129b3daea17,What color is the portion of the mat that Lilia Akhaimova is standing on?,      	Blue.,['white']
91,dfd71b36ba718b4599b47500af3637c7,What hairstyle is Maria Paseka wearing?,      	A ponytail.,['bun']
92,5420a9a9fec78657817402eedeaccb4d,What is covering Viktoria Komova's forehead?,      	A Russian flag.,['bangs']
93,6b2f7472e62a3533e61fec4944adc7ff,Who directed the film that starred Jeremy Piven and the actress who was married to Woody Allen?,      ivan Reitman.,['Danny Leiner']
94,7e99b54a4c85de0509ca2c57a94b4fa2,what does the sun symbolize in the philippine flag,      	The sun is a symbol of the Philippines.,"['sovereignty', ""people's democracy"", 'freedom', 'unity']"
95,08fac605c314afb1b2121b278dbfc41b,What is floating around the two people in Slumdog Millionaire?,      icing sugar.,['confetti']
96,ba106ac05d8f9833fde1e7406f961b4a,"Of the movies that the English actress Sheila Allen appeared in, which has a spider web on its poster?",      	Spider Baby.,['Venom (1971 film)']
97,737f56f33514b755373845a6c533c395,who played joanna in the movie love actually,       Cameron Diaz,['Olivia Rose Olson']
98,e2248f11aac7e94ae21f1aa301f6401f,In what city is Ken Bolek's baseball academy located?,"      rome, Italy.","['Bradenton, Florida']"
99,b8ea5f189700c54c49eb899a1a2f8c52,"Which League(s), in Professional leagues of Gridiron football, has a logo that includes a football or representation of a football?",   ,"['Canadian Football League', 'Arena Football League', 'National Football League', 'Alliance of American Football', 'Indoor Football League', 'Professional American Football League of Mexico']"
100,544340120d7810d49dc69742e6bcf846,st vincent and the grenadines ambassador to the united states,     ..............................................................................................................................................................................................................................................................................,['yes']
101,ced237f8af0c8f6b8b1989a48f0b0969,What is in the center of the logo for Alliance of American Football?,      	A football.,['football']
102,7b32255070b7c0f78e93fd1a55094111,is chicago the biggest city in the world,      	Yes.,['no']
103,47a31887994e63786bfef6ffb8c14fe9,where are they taking piper in season 2,      Girls Club.,['Chicago']
104,26a5b47b2bdb45270a9fedb1443b7bc3,plant genus that includes the bananas and plantains,   ,['Musa']
105,3ab2e48ab4b29f2a2134fe482c40ac6d,Does Biohazard (band) perform live?,      	Yes.,['yes']
106,ef0ead3d3d62ee8bdfc632492d2b4ee8,Are the Transplants (band) giving an indoor or outdoor concert?,      	Indoor.,['outdoor']
107,4e0256e74443d82b6a1870b776d0ec37,"The label that has remixed the singer whose debut single was ""Before Your Love/A Moment Like This"" was established in what year?",     ..........................................................................................................................................................................,['1989']
108,c465aacdd3cc5206159faf47beda45a6,What color shirt is Tommaso Benvenuti (rugby union) wearing ?,      	Blue.,['blue']
109,4469e90c723e88c570a2144597cc3e8c,What type of shoes is Takudzwa Ngwenya wearing?,      	Sneakers.,['cleats']
110,2e7fa01a2e1cc5b43f3adf8e44d82d76,What sport is Jonathan Sexton playing here?,      	Rugby.,['rugby']
111,1a7c3d22ee71166bbe3b3f8ed463995c,What type of pants is Ben Foden wearing?,   ,['shorts']
112,8a0bf9434e72991aa5465d6f225c6139,Is Marvin the Martian shown on the poster for Bugs Bunny: Lost in Time game?,      	No.,['yes']
113,b4fa630041e016caa616ebaff6c15491,What is Elmer Fudd holding?,      	A carrot.,['cane']
114,a0902a1f46fcd0c4cc0ade134826d32c,What color are the gloves worn in Muttley?,      	Blue,['red']
115,58c2b2784684608a246b8bf7c2875797,What is the woman on the Almost Famous poster wearing on her eyes?,      	Sunglasses.,['sunglasses']
116,8e808b22c12f1e0bea378be41585af43,"Leopold VI, was the Duke of Syria from 1194, and had the title of which medieval principality, of the Holy Roman Empire, from 1198 to his death in 1230?",      	Principality of Antioch.,['Duchy of Austria']
117,669991e1b5edfd99ac207019ea8d8300,"In Torpedo, what is in the diver's right hand?",      	A torpedo.,['harpoon']
118,3c9ecba13118c88412596fabe64a26ab,are there supposed to be subtitles in dances with wolves,      	No.,['yes']
119,c45775178d1457f3250348da7f2763a9,How many people are in the Reservoir Dogs poster?,      	Four.,['five']
120,3d850cc0c17129daea534c001bc0ee75,Is there a rocket in this photo of the Geosynchronous Satellite Launch Vehicle?,      	Yes.,['yes']
121,ceb56145333d41fb23e4baa138675c2f,What color dress is the woman wearing in the Tanu Weds Manu poster?,      	Blue.,['green']
122,1167be84d8273cb7d87eebaec313dec9,What color dress is the woman on the right wearing in Nil Battey Sannata?,      umber.,['red']
123,11f7eb12bf81f70a6873e22dd859eda7,"Queen Mab, is a fairy referred to in William Shakespeare's play ""Romeo and Juliet"", where ""she is the fairies' midwife"", in her play, her activity is described in a famous speech by which fictional character in William Shakespeare's 1597 tragedy, a close friend to Romeo and a blood relative to Prince Escalus and Count Paris?",      	Friar Laurence.,['Mercutio']
124,0f4eb9e748ac89fb1ea3077dec66d79f,"What color is the woman's hair, who Romeo is kissing?",      umber.,['orange']
125,5072f746758ffe633a82b67d5097f808,Does William Shakespeare have long or short hair in this image?,      	Long hair.,['long']
126,0f72c820c39f6fe6f6724b3338a4e134,How many columns are at the front of The Old Vic theatre?,      	Four.,['6']
127,96286b099e7fce5ebad770232b08f7ac,"Battle of Tarawa and Operation Overlord, occurred during which event?",      	Battle of Tarawa and Operation Overlord.,['World War II']
128,747bf7c3bb5fdb119504307abb033fc2,"Which Opera(s), in Repertoire | Opera of Christopher Bolduc, features only one woman on the poster?",      	La Fura dels Baus.,['Manon']
129,9f331cb288808beb4c2ae65023ab2fae,Is Manon's clothing shiny?,      	No.,['yes']
130,4e61357a8e2b1d0b42d271fb65acf19e,What is Don Giovanni holding in his right hand?,      	A skull.,['sword']
131,2b7e49549e58e9679ad9a637307db9b0,What color undershirt is Wolfgang Amadeus Mozart wearing?,      	White.,['white']
132,e3bbe032d0d61df79fafe4836da6631a,where is the governor's mansion in california,"      	San Francisco, California.",['1526 H Street in Sacramento']
133,28bbe6fa4a8f5277ba4354085ec4663f,What kind of structure depicted in the bottom image of the San Francisco Bay Area collage?,      	A bridge.,['bridge']
134,2c4d1e6755a4c8de5925b7d988a1b007,Is Ryan Moore (jockey) standing or sitting?,      	Sitting.,['standing']
135,2576221a02209dfcc4ce4e847c231445,How many members of Grand Funk Railroad have long hair?,      	There are four members of Grand Funk Railroad with long hair.,['one']
136,de779bce0bdc19a48ba875e73e9660f6,where in australia was crocodile dundee 2 filmed,      ireland.,"['Northern Territory, Australia', 'New York City']"
137,91b48f5ec14738d3b702d43a47485ab2,What color hair does Jackée Harry have?,      	Black,['black']
138,da7282b81f98a6c5aa658df4ca696ace,What is Regina King wearing on her head?,      	A baseball cap.,['headband']
139,2398888dd7df72d60712a75455a54b70,Whom between  Natasha Zvereva and Raúl Ramírez did Gigi Fernández win the most Grand Slam double's championships with?,      	Natasha Zvereva  	Raúl Ramírez.,"[""Zvereva and Gigi Fernández won more women's doubles titles and Grand Slam women's doubles""]"
140,89317cdd73ec3b7a3b1ba99c3d9d4e82,"Of the clothing that Vijay Amritraj is wearing, which piece of clothing is striped?",      	His shorts.,['tie']
141,0840ccccc624389f5d2c7f189ab0e623,What is on the wrists of Arthur Ashe?,      	A tennis racket.,['wristbands']
142,718ed29373570015b7156bf83ff949bd,What is directly behind Brad Gilbert?,      ivan Lendl.,['fence']
143,7bf1be4e28eb9cf46cbece7e08a0938e,Where were both Barbajada and Panettone from?,      rome.,['Milan']
144,8161a3a0d6499034c8db037438b9c0f4,Does Dries Mertens have his mouth open or closed?,      	Closed.,['closed']
145,aa86624fa19a0f7d1d2e11ba24d5bbc1,What gold shape is on the upper right jacket of Suso (footballer)?,      urn.,['star']
146,b60ffdba92778e7795cd59d66b4fc11e,What direction is Rodrigo De Paul wearing his hat?,      Left.,['backwards']
147,08e66ea55258dfb1e76421a0cd580108,What type of piercing does Manuel Lazzari have?,      	Mouth Piercing.,['ear']
148,b8e0cfceab6d355abf6d54b36539b894,Who directed the 2011 Pixar computer animated short film featuring Jodi Benson?,      	Andrew Stanton.,['Gary Rydstrom']
149,882fc0e33075519ff58026f63a3e1fcf,who does jamie chung play in once upon a time,   ,['Mulan']
150,75b94c74f54e93c1e71b716f306a7c85,What is Julianne Moore wearing around her neck?,      	Necklace.,['necklace']
151,b5b1af47948480d05c9ba0a39b8008e0,in which year there was a heavy landslide in nainital,     ..........................................................................................................................................................................................................................................................,['1880']
152,0044375cde53a5cbf1aafc9b4cff3987,What activity is Stevie Wonder performing?,      	Performing.,['singing']
153,84ad98106b1f30ae08208a5403ec1206,What is Billy Joel doing to indicate that he is happy?,      	Smiling.,['smiling']
154,7664500bdee6462bcdd353d855b077ee,What shape is in the center of Viduthalal Chiruthaigal Katchi?,      ૐ ૐ.,['star']
155,9862098e94696eb8921da99b52af1f97,There is a winged horse on the logo for which institution in the current members of the America East Conference?,      	University of New Hampshire.,['Binghamton University']
156,9ad38c7951c48b366a7bc12225d995ec,"Which Nickname(s), in Members | Current members of America East Conference, feature an animal's claws on their logo?",      elysians,"['Binghamton Bearcats', 'Vermont Catamounts']"
157,5a7960920d611c31e3d7bb1e3c8b72ab,Is the university where Paul Dietzel was athletic director in 1977-1978 a public or private school?,      	It is a public school.,['public']
158,3bb1a619e478a12a30b8c5fd1f5b2abc,is uc berkeley a private or public school,"      	University of California, Berkeley is a public university.",['public']
159,d0b649f00bbaf8bfa76942d2b6cef64d,"How many different pictures of Albany, New York are there?","      	There are five different pictures of Albany, New York.",['six']
160,a66c1c29bd5c7d177de9222f254f9984,who is the voice of the clown in toy story 3,      ivan moody.,"['William Everett ""Bud"" Luckey']"
161,9de0be0d27494b91728ea4f0da520a93,did dwyane wade won a championship his rookie year,      	Yes.,['no']
162,eb1669b4a3f0891609f0e52b5929e933,What color is the uppermost bracelet on Alonzo Mourning's right wrist?,      	Red.,['yellow']
163,35cc3821999736e7db989de65db5372d,What is on the necklace that Glen Rice is wearing?,     ....................................................................................................................................................................................................................................................................................................................................................,['cross']
164,23f33215a96dda8143779f6580a700ff,Is this an action shot of Tim Hardaway?,      	Yes.,['no']
165,3717f54f15eff71fdebdadeb4c63d87b,Which film is older Cheetah or Monsters University?,      	Cheetah.,['Cheetah']
166,0a37c7065d9176b672e60d7179bd87c0,What can be seen on the distant mountains of Namdapha National Park?,     ......................................................................................................................................................,['snow']
167,f2ded8bedf9b48787f1e64bc52287d0e,Do rhinos live in Kaziranga National Park ?,      	Yes.,['yes']
168,623551543c819e5757222d2b29396b1b,are the north and south islands of new zealand connected,      	No.,['no']
169,95feb69ddb500ddc1bcae1b166c0f0d5,What item with two posts is seen here in the 1978 Amco Cup?,      urn.,['goalpost']
170,7ee17d29f85f6edaee836cbe5d5ffa42,Is there a field of green present in the 1980 Tooth Cup photo?,      	Yes.,['yes']
171,183a1eec0e38eaee513a5ec7996f55f1,How many TV screens are visible in the photo of the 1989 Panasonic Cup (rugby league) field?,      	There are four TV screens visible in the photo.,['one']
172,38027a2b6b1a3d30030572e199d0b885,What is the bird on the Wynnum Manly Seagulls logo holding beneath it's arm?,      	A football.,['football']
173,2171718bf7305e3b25c2e57481805709,How many petals are on the flower in the Brisbane rugby league team logo?,      	Four.,['nine']
174,63582992b3c870517e0530ab21b26433,"Hongshao rou or red braised pork, a classic pork dish from mainland China, cooked using pork belly and a combination of ginger, garlic, aromatic spices, chilli peppers, sugar, and rice wine, as well as which light and dark liquid condiment,  made from a fermented paste of soybeans, roasted grain, brine, and ""Aspergillus oryzae"" or ""Aspergillus sojae"" molds?",      酸菜醬.,['Soy sauce']
175,7734eb459be1a4028e444690003ecbee,what is the name of the lion in madagascar,      ursus maritimus.,['Alex']
176,7e631afe9ae7d118686a41855dc2b8ca,What is the background color of the Angry All the Time cover?,      	Red,['black']
177,4ffd86699e830254993604a40ee1f807,What portion of the KK Cibona logo is missing?,      	The KK Cibona logo.,['fourth']
178,29b5332761e26712d9f2f100472157b9,How many women are wearing pants in the cover of Rap-Up?,      	Four.,['one']
179,5758fb3c49c1016ccc35d57544293edc,Are there mountains in the background in this photo of Rasen-Antholz?,      	Yes.,['yes']
180,ee67797fad4a7e1abc07e46bcd485887,What kind of structure can be seen on a top right picture of Jyvaskyla?,      	A church.,['bridge']
181,e25f377d04275b59c768c3e5e6d10ee4,"What geological feature is seen in the background of Canmore, Alberta?",      	The Canadian Rockies.,['mountains']
182,2272c4f711e2824e6d60f509194f747c,"Expedition 12, in 2005, was the 12th expedition to the International Space Station (ISS), a space station, or a habitable artificial satellite, in low Earth orbit, its first component launched into orbit, in what year?",      	2005.,['1998']
183,68f2a047348326d7ed431a6795009a97,which country was the first to land on the moon,      	USA.,['Soviet Union']
184,24778c2635d874d568e26414ec7a14e2,who wrote the song you look perfect tonight,      	Niall Horan.,['Ed Sheeran']
185,61db569c184df12766f79fff666bef2f,Which duo backed the first single from Dr. Alban's second studio album released in April 1992?,     ............................................................................................................................................,['BomKrash']
186,4237814d882d9a60d545c452b5ae6099,who sings sweet dreams are made of you,      	Barbra Streisand,['Eurythmics']
187,062dfea1446084f3bcfa355d33badca0,which song that was released under the 'Atco' label promoted a song released on the polygram tv record label?,      romeo and juliet.,['Cars']
188,c5793c674c3a03c292d818b8646a358c,"The film ""Alamo: The Price of Freedom"" was about what 19th century American pioneer born in 1796, who had a pivotal role in the Texas Revolution and died at the Battle of the Alamo, and in the film was played by Steve Sandor?",      	Davy Crockett.,['James Bowie']
189,6787ea194fefafe128bc905edb648c31,"Raleigh–Durham International Airport, is the main airport serving Raleigh, Durham, and the surrounding Research Triangle region of North Carolina, the airport  is a crew base for which regional airline carrier, owned by Trans States Holdings and is headquartered in Bridgeton, Missouri?",       FedEx.,['Trans States Airlines']
190,caebb4a2d2e8470e19a86f5111b76efb,when did the blu ray player come out,      The Player was released in 1992.,"['April 10, 2003']"
191,e552d5aab4605561afffa5d37133406c,What Academy Award did Walter Thomas Huston won in a 1948 American dramatic adventurous neo-western?,      	The Treasure of the Sierra Madre.,['Best Supporting Actor']
192,396fe3f65315324fd21c47e135e71357,"The Case for Democracy is a foreign policy manifesto written by one-time Soviet political prisoner and former Israeli Member of the Knesset, Natan Sharansky and co-authored by what former Isreali ambassador to the United States?",      	Yossi Beilin.,['Ron Dermer']
193,d9d306784b7fe057fef6c357609faad2,what is the population of the des moines area,"      ###,###.","['645,911']"
194,7e706f8bb0b1face14178644d6d49f9a,is there such a thing as green gold,      	No.,['yes']
195,416388bb5622927ad2470f00e3d4630d,when did us stop backing dollar with gold,     ..................................................................................................................................................................................................................,['1971']
196,afea66987797f611e5617b3e6cd9f795,how many episodes will american horror story season 7 have,     ..............................................................................................................................................................................................................................................................................,['11']
