,qid,Q,A,Gold_A,docs
45,5454c14ad01e722c2619b66778daa98b,who owns the rights to little shop of horrors, 	David Geffen.,['David Geffen'],['b95b35eabfc80a0f1a8fd8455cd6d109']
46,265da4be224029df08ddc9dec1637a29,What color is Giorgio Armani's hair?, umber,['white'],['89c1b7c3c061cc80bb98d99cbbec50dd']
47,b6d19503da5c36be904f391d06f2a2ae,Mateo Andacic is a midfielder for what German association football club that was founded in 1899?, 	FSV Frankfurt.,['FSV Frankfurt'],"['d06eef5a809c3a06a2e8cbe86f3360c6', '0f9db5b238737d33593f03e3970b20f6']"
48,36664b6d27bbcbd4bb722f9286cea0bd,What type of ball is shown on the sleeve of Arjen Robben?, 	Football.,['soccer'],['c9bab469e88adc0419a34a6abf7226ff']
49,47800dd3d7edae3069eb4e683d1889ef,What is at the top of the logo for Esporte Clube Santo Andre?, 	A shield.,['crown'],['cd688309f231129c3e897a33704d62e6']
50,1e288b881eea53a6e3e3e56bd79f40e5,"Is the actor who starred in the films ""Rudy"" and ""D-Tox"" bald?", 	Yes.,['yes'],"['ec28b28406808a1e4270ebbfeae0ddf1', 'b843c68379696468ceab00a57ee8fcd1', '4f06737ade9bd8cbb9ca3e52405aebcb']"
51,cff1106bdd553b3ef2b8b74419606ce0,"Ben Moore is an American composer who has collaborated with many artists, one artist in particular is someone who has won six Tony Awards, which is more than any other actor--who is this artist?", 	Audra McDonald.,['Audra McDonald'],"['84caff4e6d8ba74aa8d80e6e96c93852', '68389f3b8458f0fdfc09dbe6e52579c4']"
52,29c32bdfc2af9ec54d02e18e068ef0d4,What part of a compilation does Shake Your Coconuts and Junior Senior have in common?, 	Shake Your Coconuts and Junior Senior have in common.,['single'],"['5f8451ff4c70a60611325db25c5d0ba9', 'fc36f32243fdf2264d50efb5f32d8578']"
53,8a9653890bbbe2188a1744433fd4cacd,Which gmina with a swan in the center of its logo is an administrative division of Suwalki County?, 	Mrozy,['Gmina Bakałarzewo'],['2cb632452717cb766278f6ba1b3cc521']
54,8acf581da5ef9fcba411333a1b0c816c,"Which film was released first, Race to Witch Mountain or A Kid in King Arthur's Court?", 	A Kid in King Arthur's Court.,"[""A Kid in King Arthur's Court""]","['a95c6d95609d563413808e1e87789c25', '4972f1ddbba705d582f6e93077f007fd']"
55,1db882f16ee4721cc4c3fe9cf55e07e0,What is the man on the poster for Black Hawk Down (film) holding in his right hand?, 	A rifle.,['gun'],['afc2fd4277f09b50b68b2b7191d687b8']
56,99189c632e9ee45eb7b5571d54ba047d,where is season 2 of the exorcist filmed, 	Vancouver.,['Vancouver'],['4aa7620eb918ad4cd75bd265c4cc3802']
57,eea285074866dd36b5f5a7333b74d09a,Where did the director of the film Three Blind Mice relocate to from Australia?, 	New York City.,['New York City'],"['2ca6ce49518da26246264d540fd94cb7', '1ac3ff1a0adb65d205b898fd464ce697']"
58,d63dc273e79af14e74bd13aec74415d9,Is there an adult on the motorcycle in the poster for Easy Wheels?, 	No.,['no'],['7377d327e9b7294fdb91127343e04240']
59,539ed6e80ce2a3722b3533e4fd1e7a85,who is considered by many to be the father of soul, 	James Brown.,['James Brown'],['bea6d8f002a8cc72bfbc7bb7cb4868eb']
60,c982323ac12799f2f49f583efc024408,Is Glen E. Friedman's jacket zipped or unzipped?, 	Unzipped.,['unzipped'],['fc9ebf2e2f864094d3a6abd6d8674e34']
61,a6cb73d18b79117f01e6d814c07a60f7,What is hitting the bongos in the Incredible Bongo Band cover?, 	Bongos.,['hands'],['bea253af5c65cce9e682cde1771431a2']
62,d0b8f1a8c94566aabb1596c2f5ce9066,What position are James Brown's hands in?, 	Jazz Hands,['fists'],['8c94c8863a1dc12601f588064056198f']
63,1662ffb81bac23620995a9b9fe5cbf72,How many people are in this picture of The Marcels?, 	8.,['nine'],['04bf43de3fb9ec60e2d4ae2730ec26a3']
64,20118cd37ec52cf7a05c2cbe1be334a1,What style earrings is P. Susheela wearing?, 	Necklace.,['hoops'],['66eb4368e9ce2866d826f0a388113c90']
65,2eabd5ce3e8b8da23b996cc41e065315,are tigers the biggest cat in the world," 	Yes, tigers are the biggest cat in the world.",['no'],['cccdbbac68b3e7004cbc337d54826e1a']
66,82cc8e753747c05a332a9505c8cfbea9,"The ""Promociones Gutiérrez"" 1st Anniversary Show, was a professional wrestling supercard event promoted by which organization, the focal point of the event was a ""Ruleta de la Muerte"",Spanish for Roulette of Death, Roulette is a casino game named after the French word meaning ""little wheel""?", 	Promociones Gutierrez.,['Consejo Mundial de Lucha Libre'],"['05ef0c5ec59d859eeee8a0c2c5ff1968', '7edceba2225fdc9ef7be34ea6661d0c8']"
67,7c6bc8290d4d5c801a9534648ef8eb45,what comic was roy of the rovers in," 	Passage: The Roy of the Rovers comic was launched as a weekly on 25 September 1976, named after the established comic strip of the same name that first appeared as weekly feature in the Tiger on 11 September 1954. The title ran for 853 issues, until 20 March 1993[nb 1] (industrial action prevented publication of 3 issues in December 1978 and a further 5",['Tiger'],['fe3ce6b44cc2ae2a610b8a5fad6508f5']
68,e9fe583ce94693ec158210d74d8c9add,what state has the highest population of bears, 	Montana.,['Alaska'],['7e91324dcb94288c198ac8caaa180300']
69,6a304cb24a40342a0612036581a9c7d1,"Is Plamen Iliev (footballer, born 1991) wearing green?", 	Yes.,['yes'],['c22fa469de500495cde9e49c19fafb4e']
70,4f183e594eda0238cc1d8f06a8ac4cae,What type of ball is the center of the FC Bolosani logo?, 	Soccer ball.,['soccer'],['4fe987d30eff1647e86e30f858267ffc']
71,a8fa12306d849d5276dbf335d9baa235,"What Classification is the album by UK band Seccond Person, and a musical genre that originated in the early 1990s in the United Kingdom, especially Bristol?", 	Trip Hop.,['Trip hop'],"['f9f363451418aa55f7414e3b81531fa6', '262a040d7602378ceb40033d6bf66512']"
72,1b5e2bd0c3128eae8ad6f0ce6cd4aa16,when was ain't added to the dictionary, 	1961.,['1961'],['63c09c750ed3c50beedc2754adbea2cc']
73,c61938c1dff72fbe9d26ad1b754e7bbf,"Which drink is considered a highball, a Rickey or a Greyhound?", 	Greyhound.,['Rickey'],"['f4b8066abd83fdf9783ecefbd3528e72', 'b0bb628e63c966df698ff91950c25fb5']"
74,c95fa4bc3ff92818257af88a1259f333,What is the main color on the cover of Kicking and Screaming (1995 film)?, umber,['green'],['e9e7af0a85bfe062956f1b070e486bce']
75,1da000eba3307f025502a6df568264c1,"Margot at the Wedding has how many main characters, as portrayed on the front cover?", 	5,['3'],['890daca84ae6e9abf9529097b7185e08']
76,86290fc0b15679306a554c31ae98264b,What type of outfit is Wes Anderson wearing?, 	A suit.,['suit'],['4a012b0163ce8530bf8760511d269d4f']
77,4208cf3ce3392da60fcb29c52861f2dc,How many people are on the advertisement for Solarbabies?, 	2,['6'],['ff47f2e753a2a5825174438fd981716b']
78,3204771c22f1cd16d58885d41af582aa,Chappaquiddick is an upcoming American drama film starring an Australian film and television actor known for playing Tommy Caffee on what television series?, 	Brotherhood.,['Brotherhood'],"['f6a0f35138bc77f786a7fc05541c8662', '87b24e78edf5f22cead3dec6fd801584']"
79,3061f1321a319a1b1db49bbcdbe5146b,"Which one, Boğaziçi University or Basilica Cistern, was built in the 6th century during the reign of Byzantine Emperor Justinian I?", 	Basilica Cistern.,['The Basilica Cistern'],"['88eb6f66a55ab0547ed4f5a5935ce879', 'ea1f57eb012c1a7383781363d105988c']"
80,11601aa874c6b2ad0c866ff65f27bb63,who was first offered the part of columbo, 	Bing Crosby.,"['Bing Crosby', 'Lee J. Cobb']","['3a7a4b8e0abecf5776d8281788c861dd', '3a7a4b8e0abecf5776d8281788c861dd']"
81,30d2f3535accc83d174301378ebd07b6,"Sechskies is a six member South Korean boy band that includes what South Korean rapper whose first solo single was ""A-Ha""?", ㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎ�,['Eun Ji-won'],"['6bc14e24229d2e19e095a804d960e642', 'bc3b44dbca3ac42338038e7291bd124e']"
82,cb281b0a823b788b5513a57d446acd41,who plays the huntsman in snow white and the huntsman, 	Chris Hemsworth.,['Chris Hemsworth'],['5fd0070c6f59fbbf8d3ff10325c48aeb']
83,d7abf11e4f64b4d59904422b17940dfc,What are the men wearing around their necks in Dil Jo Bhi Kahey poster?, 	Necklaces.,['ties'],['083b166c958a6479df5195ec55680460']
84,02713dd10d639aa3d90b0ac987db9427,What color is the woman's hair on the top of the advertisement for True True Lie?, umber,['blond'],['ab5b1e945e030bcb84f638050605ee2c']
85,0b9cc9d9f48fca74a5eeb8ded92f9f44,"The 1993-94 Portland Trail Blazers season included Harvey Grant, who also has an idential twin named who?", 	Horace Grant.,['Horace Grant'],"['4b837e34108add77876df50592590b88', 'b0ec8efd43727a8c7614883cdec72101']"
86,819e3160f22972d6db17a64a3ba79bb2,Does John Paxson have facial hair?, 	No.,['no'],['72b8028c41ccfb0f84b71c235515e35a']
87,a5ae1e7b8d5dd655ca551a068b327933,"Which Actor(s), in Cast and characters of Nikita (TV series), have a moustache and a beard?", 	Mitch Pileggi.,"['Xander Berkeley', 'Aaron Stanford', 'Shane West']","['47f75e278fa6e6accd089b57fbb61696', '425c2d8583d94a8d34e653e79dfeb1ad', '93e7c4fc434c2c78ff6eedd81ad63cea']"
88,2df1a1ddef25dcdbad7fb43ffcf72ab9,What body part is on the front cover of As Real as It Gets?, 	Face.,['hand'],['0d057428fb6a3fd99797cefdb845ef11']
89,2cbe6f859124a34a828442c29b1be3f5,What sport is Maria Kharenkova participating in?, 	Rhythmic gymnastics.,['gymnastics'],['95547e88fe5b762e4583375da84acd3a']
90,7275a1bc421f71a683f41129b3daea17,What color is the portion of the mat that Lilia Akhaimova is standing on?, umber,['white'],['2f94454039f886628e87c36a4e2afa0c']
91,dfd71b36ba718b4599b47500af3637c7,What hairstyle is Maria Paseka wearing?, 	A ponytail.,['bun'],['6e93cfddb4d618c783245ab32c6f341a']
92,5420a9a9fec78657817402eedeaccb4d,What is covering Viktoria Komova's forehead?, icing.,['bangs'],['1718c48e4ec8cefab50e30adddc3f738']
93,6b2f7472e62a3533e61fec4944adc7ff,Who directed the film that starred Jeremy Piven and the actress who was married to Woody Allen?, 	Danny Leiner.,['Danny Leiner'],"['1c4fb26ffe787ef344768df22af445ba', '5ee436cfe38ae5106a7e89cbdc13da1f']"
94,7e99b54a4c85de0509ca2c57a94b4fa2,what does the sun symbolize in the philippine flag," 	The sun symbolizes unity, freedom, people's democracy, and sovereignty.","['sovereignty', ""people's democracy"", 'freedom', 'unity']","['1919850f5d69965db1a3ca82b91450d5', '1919850f5d69965db1a3ca82b91450d5', '1919850f5d69965db1a3ca82b91450d5', '1919850f5d69965db1a3ca82b91450d5']"
95,08fac605c314afb1b2121b278dbfc41b,What is floating around the two people in Slumdog Millionaire?, 	Money.,['confetti'],['6eaff02e7a4e8da95cd67e4021d98c6d']
96,ba106ac05d8f9833fde1e7406f961b4a,"Of the movies that the English actress Sheila Allen appeared in, which has a spider web on its poster?", 	VENOM.,['Venom (1971 film)'],['c09c8f9a83047deee3d3cc28b8a5d01b']
97,737f56f33514b755373845a6c533c395,who played joanna in the movie love actually, romeo miller.,['Olivia Rose Olson'],['36fa14840f24b79c1d477ad2ad44e014']
98,e2248f11aac7e94ae21f1aa301f6401f,In what city is Ken Bolek's baseball academy located?," 	Bradenton, Florida.","['Bradenton, Florida']","['87c40ddb9cd111a6d9b7e20fb5ca69a2', 'dfd4ef76a3eb4414bf7c7083b9bac0ed']"
99,b8ea5f189700c54c49eb899a1a2f8c52,"Which League(s), in Professional leagues of Gridiron football, has a logo that includes a football or representation of a football?", 	The Canadian Football League.,"['Canadian Football League', 'Arena Football League', 'National Football League', 'Alliance of American Football', 'Indoor Football League', 'Professional American Football League of Mexico']","['6a5a722d6ecb984a516f54123cc8aeca', 'c3dd1ea69f153131c3e7447da67c87f1', '7b3da27c145275654bd94c8d539b9598', 'c62600f3a571cbb38bd66e124be5ec8a', 'c04a80a85e9d452d049eb264722aea9c', '1b1a56ccc03580bd38d4fe7826058c18']"
100,544340120d7810d49dc69742e6bcf846,st vincent and the grenadines ambassador to the united states, 	Yes.,['yes'],['50078195e06fca2da5458c3545cf8cc8']
101,ced237f8af0c8f6b8b1989a48f0b0969,What is in the center of the logo for Alliance of American Football?, 	A football.,['football'],['c62600f3a571cbb38bd66e124be5ec8a']
102,7b32255070b7c0f78e93fd1a55094111,is chicago the biggest city in the world, 	Yes,['no'],['a89cb404c1ee7dea47c88cfc7acbf8eb']
103,47a31887994e63786bfef6ffb8c14fe9,where are they taking piper in season 2, 	Chicago.,['Chicago'],['52d269fa248958036f0ef2b3b51eb57d']
104,26a5b47b2bdb45270a9fedb1443b7bc3,plant genus that includes the bananas and plantains," 	Musa is one of two or three genera in the family Musaceae; it includes bananas and plantains. Around 70 species of Musa are known, with a broad variety of uses.",['Musa'],['1fa15a922c0b18c93fb81651cb278284']
105,3ab2e48ab4b29f2a2134fe482c40ac6d,Does Biohazard (band) perform live?, 	Yes.,['yes'],['03fcd384671ac52f7efc39f5a3be92db']
106,ef0ead3d3d62ee8bdfc632492d2b4ee8,Are the Transplants (band) giving an indoor or outdoor concert?, 	An outdoor concert.,['outdoor'],['bae81d7cfc1689353f90851dc0c8828f']
107,4e0256e74443d82b6a1870b776d0ec37,"The label that has remixed the singer whose debut single was ""Before Your Love/A Moment Like This"" was established in what year?", 	1989.,['1989'],"['8d381fa63c06f9cbcc7437a272ebd139', '04940debb63c37d1c5ad0ec6e7c1986e']"
108,c465aacdd3cc5206159faf47beda45a6,What color shirt is Tommaso Benvenuti (rugby union) wearing ?, 	Blue.,['blue'],['3ff0574ce7020df4a809ade7543d2f01']
109,4469e90c723e88c570a2144597cc3e8c,What type of shoes is Takudzwa Ngwenya wearing?, 	Football boots.,['cleats'],['d9ff3439677437f743e3d6b1122a76b8']
110,2e7fa01a2e1cc5b43f3adf8e44d82d76,What sport is Jonathan Sexton playing here?, 	Rugby.,['rugby'],['ecc0ee1f35c325597bcf209174e40dca']
111,1a7c3d22ee71166bbe3b3f8ed463995c,What type of pants is Ben Foden wearing?, 	Jersey.,['shorts'],['a86332e817d902400866ca11e12e1444']
112,8a0bf9434e72991aa5465d6f225c6139,Is Marvin the Martian shown on the poster for Bugs Bunny: Lost in Time game?, 	No.,['yes'],['5c751696e76db5161604e2d5c2d3f278']
113,b4fa630041e016caa616ebaff6c15491,What is Elmer Fudd holding?, 	A gun.,['cane'],['5a2697a71ac83f0776b4495cabde19dd']
114,a0902a1f46fcd0c4cc0ade134826d32c,What color are the gloves worn in Muttley?, 	Red.,['red'],['d7051b92c135cd457fb53ace3a0caa65']
115,58c2b2784684608a246b8bf7c2875797,What is the woman on the Almost Famous poster wearing on her eyes?, 	Sunglasses.,['sunglasses'],['1cb81000e30369eeb33654a9f653e7e6']
116,8e808b22c12f1e0bea378be41585af43,"Leopold VI, was the Duke of Syria from 1194, and had the title of which medieval principality, of the Holy Roman Empire, from 1198 to his death in 1230?", 	Austria.,['Duchy of Austria'],"['12c6556ba46f20f0f5ed3bf1d14f1db8', '3a9062a6c194eae1d37414693932302c']"
117,669991e1b5edfd99ac207019ea8d8300,"In Torpedo, what is in the diver's right hand?", 	Torpedo.,['harpoon'],['62f67108c087d149c3d245e913660bd9']
118,3c9ecba13118c88412596fabe64a26ab,are there supposed to be subtitles in dances with wolves, 	No.,['yes'],['f9c3fac7916c48073a127d010fff26b2']
119,c45775178d1457f3250348da7f2763a9,How many people are in the Reservoir Dogs poster?, 	6,['five'],['b44e0cf530d532c59e7fdd9a59f391c1']
120,3d850cc0c17129daea534c001bc0ee75,Is there a rocket in this photo of the Geosynchronous Satellite Launch Vehicle?, 	Yes.,['yes'],['38d56076632cae4ce6b97c49afda00f5']
121,ceb56145333d41fb23e4baa138675c2f,What color dress is the woman wearing in the Tanu Weds Manu poster?, 	Red,['green'],['b903b91a9cb9a72b45113055adba7658']
122,1167be84d8273cb7d87eebaec313dec9,What color dress is the woman on the right wearing in Nil Battey Sannata?, 	Blue,['red'],['9d3d8ad4942b1bb99e30c438e67e0798']
123,11f7eb12bf81f70a6873e22dd859eda7,"Queen Mab, is a fairy referred to in William Shakespeare's play ""Romeo and Juliet"", where ""she is the fairies' midwife"", in her play, her activity is described in a famous speech by which fictional character in William Shakespeare's 1597 tragedy, a close friend to Romeo and a blood relative to Prince Escalus and Count Paris?", 	Mercutio.,['Mercutio'],"['182c0ee2f05f4169db687e22421985ec', 'f9d81ed65f34463e7bf8fb657846d08d']"
124,0f4eb9e748ac89fb1ea3077dec66d79f,"What color is the woman's hair, who Romeo is kissing?", 	Red.,['orange'],['55d097da2debadcfdde6e3c6f7953dec']
125,5072f746758ffe633a82b67d5097f808,Does William Shakespeare have long or short hair in this image?, 	Yes.,['long'],['b95286acbb525edd9a1171deef37ee48']
126,0f72c820c39f6fe6f6724b3338a4e134,How many columns are at the front of The Old Vic theatre?, 	Three.,['6'],['969c35c3a4f152107d2b6eaf4b552697']
127,96286b099e7fce5ebad770232b08f7ac,"Battle of Tarawa and Operation Overlord, occurred during which event?"," 	Battle of Tarawa and Operation Overlord, occurred during which event?",['World War II'],"['637d55b4843be8aaf3bd719776f344b9', '53e1bdd535abaffcc98880cd2057e0f8']"
128,747bf7c3bb5fdb119504307abb033fc2,"Which Opera(s), in Repertoire | Opera of Christopher Bolduc, features only one woman on the poster?", 	La Traviata and La Boheme.,['Manon'],['7a519bb802d41ef1b76c704bc4b32cd4']
129,9f331cb288808beb4c2ae65023ab2fae,Is Manon's clothing shiny?, 	No.,['yes'],['7a519bb802d41ef1b76c704bc4b32cd4']
130,4e61357a8e2b1d0b42d271fb65acf19e,What is Don Giovanni holding in his right hand?, 	A sword.,['sword'],['3a54edd73657b7508a9e60575b002f2b']
131,2b7e49549e58e9679ad9a637307db9b0,What color undershirt is Wolfgang Amadeus Mozart wearing?, 	Blue.,['white'],['6966304e203aac28b259671c44d3ca3e']
132,e3bbe032d0d61df79fafe4836da6631a,where is the governor's mansion in california, 	Sacramento.,['1526 H Street in Sacramento'],['880c56db774270eec057f6c85ba76165']
